Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,162.457,158.339,156.43,152.758,152.003,150.034,145.717,142.48,139.283,135.39,131.79,128.603,121.253,114.889,111.497,108.46,107.708,107.043,106.463,105.375,104.684,100.132,98.201,96.277,94.918,93.042,92.073,92.047,91.882,91.352,90.626,90.726,90.055,89.362,88.656,87.303,86.54,86.62,86.115,85.098,84.781,84.47,83.823,84.154,84.481,83.405,83.226,83.555,79.111,75.032,65.303,64.747,64.378,62.588,63.334,62.67,63.233,60.614,59.643,58.036,59.682,70.365,
Africa Eastern and Southern,AFE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,384.2450644,379.7625661,376.8739093,374.1967817,366.660741,367.7639724,372.028648,365.1479608,361.4846929,358.3383257,355.0652479,346.3351396,353.1920558,343.3322548,342.6365547,343.0785657,336.2566428,331.8318478,328.7091743,323.9577331,319.8237222,312.8408448,311.888493,328.3195058,330.2284253,329.5066707,325.7914698,327.2966697,335.1296737,327.4314188,330.8871156,336.929987,346.4351372,348.3383076,347.759692,348.8727104,358.7848911,363.8413414,376.0831153,371.3514336,373.8554682,379.6481922,380.0917869,380.3868683,376.7758932,369.2089201,357.3374648,346.6647263,335.1687331,320.3096606,306.3464798,290.940921,278.0598185,266.0633315,255.1515216,247.3345452,237.9779793,231.6882995,224.1193923,218.6433234,224.2320631,237.6027418,
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,550.189,543.6,537.703,531.856,526.179,520.698,514.339,508.496,502.464,496.613,490.203,483.941,477.325,470.742,464.507,458.609,452.685,446.568,453.421,462.727,456.101,449.554,471.749,465.209,515.459,511.766,448.188,442.407,401.952,390.109,382.051,373.966,362.387,333.348,326.338,319.863,311.9,308.249,316.547,295.841,290.083,284.871,282.338,270.723,264.795,259.868,254.511,247.96,241.256,236.917,231.583,225.563,220.219,214.871,212.215,209.573,204.096,196.522,193.284,190.261,210.053,214.241,
Africa Western and Central,AFW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,429.5236402,426.3348659,424.3493623,421.439862,418.0233323,415.8729668,415.1489121,416.9551188,409.5619731,408.4486787,403.5592132,400.0236001,392.2105352,387.28577,380.4209765,372.1657101,361.4896778,352.1394621,346.0655749,343.8479033,341.3487332,341.2180983,339.7200732,337.6215635,337.5518594,337.2077925,339.4602515,335.6906669,333.4037464,331.8918278,332.76508,335.7595581,336.167071,336.6322438,343.3095127,344.2409821,345.5692581,346.8806488,350.6486965,347.9919501,346.3003983,346.5884286,346.0394922,342.4585219,341.6124998,337.9463492,335.1861278,332.1815715,331.1470982,325.175958,322.2005438,316.7940074,313.7786989,310.0447497,307.8801579,305.3027793,303.1423991,298.7487951,296.7771395,292.122943,297.1897402,305.2188206,
Angola,AGO,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,417.058,419.386,416.82,415.982,413.565,409.164,408.898,405.904,400.775,398.544,395.104,393.661,392.374,387.981,384.356,390.813,392.141,390.889,386.686,382.865,380.987,379.271,376.916,389.52,385.7,384.069,383.848,400.842,395.517,393.36,391.688,372.739,389.433,380.831,368.946,359.414,359.432,356.158,366.405,360.65,360.01,349.638,348.413,329.859,320.654,312.939,306.638,293.787,289.154,276.31,266.289,260.537,247.851,243.505,236.076,229.953,229.534,222.983,213.533,214.355,212.645,227.092,
Albania,ALB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,167.421,160.351,157.236,150.982,145.378,139.459,134.11,130.189,124.999,120.11,116.338,112.932,109.049,106.771,104.29,101.7,100.642,98.426,97.575,95.975,86.186,83.539,80.301,77.97,76.308,75.891,73.936,71.323,68.939,67.756,66.103,65.558,63.966,63.756,63.612,62.433,61.445,66.065,60.466,59.592,58.575,57.713,56.949,56.05,55.595,54.775,54.28,51.505,50.737,50.082,49.624,49.243,49.876,49.424,48.016,46.822,45.389,44.163,42.912,42.182,56.31,62.136,
Andorra,AND,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,312.5418861,307.0441207,304.4376211,299.1056132,290.021197,290.8761869,292.1477558,289.137326,286.5998798,284.3534613,280.6375636,269.538253,266.2517895,259.7877889,255.1405365,251.1920238,251.975706,241.514363,236.086094,230.9119182,225.1916173,222.6430185,220.2506476,213.7000417,209.7545657,205.4035055,196.8202065,199.739483,205.2421343,189.8502507,186.1584532,185.1669248,184.0274035,175.6513516,167.1314178,167.9750421,165.9198317,163.736877,166.9365593,157.2788851,151.8932141,148.918579,146.1324756,146.4641642,145.3250797,142.3668443,138.341714,134.8637057,132.9216636,128.1936637,125.5710753,123.1809799,122.6727338,121.6811189,118.4138602,117.1582303,113.4042884,108.4683285,107.4193337,106.588386,114.1453446,115.9019633,
United Arab Emirates,ARE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,285.417,282.806,275.498,270.446,261.99,254.021,242.99,233.334,224.97,213.24,201.703,190.892,186.443,172.935,168.926,163.459,157.908,153.11,147.158,142.131,136.212,136.365,131.258,131.401,126.07,126.141,127.375,117.847,118.489,118.836,119.141,119.678,121.851,114.558,115.188,116.168,122.922,121.07,119.942,112.13,105.96,100.59,95.695,77.858,74.719,71.718,68.776,66.118,63.627,61.298,59.123,57.121,55.17,53.23,51.363,49.538,47.917,46.223,45.048,44.261,48.073,48.276,
Argentina,ARG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,163.427,158.44,158.609,155.531,156.218,153.427,150.516,148.307,148.919,150.07,143.246,147.703,144.316,141.005,138.253,134.094,133.449,127.437,128.417,127.241,128.967,124.291,126.497,125.944,128.028,128.104,125.162,122.404,119.584,117.014,115.717,110.058,110.21,109.009,108.916,107.854,107.068,107.397,105.342,103.831,102.208,99.422,95.58,102.93,95.868,92.45,90.894,92.523,88.91,87.333,88.828,84.699,79.569,79.171,78.091,76.307,79.285,75.849,73.538,70.582,87.621,90.414,
