Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,304.947,301.932,301.822,297.246,296.861,296.2,285.91,281.041,278.187,273.206,267.794,262.744,256.081,251.102,245.408,243.781,238.503,234.31,229.934,224.58,218.434,206.703,203.559,202.547,200.57,199.116,197.608,187.741,179.996,180.445,179.24,178.4,177.512,176.512,175.45,174.545,172.4,171.553,170.704,169.87,169.694,167.748,166.186,164.507,168.074,162.698,156.245,149.887,156.53,150.283,143.427,141.362,139.318,138.647,136.992,135.037,134.258,130.629,127.002,124.312,124.099,140.466,
Africa Eastern and Southern,AFE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,448.2404786,450.437828,446.9522269,450.3612191,443.9433952,447.6941543,449.731975,443.3201083,439.4440578,438.1637192,434.8849115,429.0557144,435.7527522,419.0965393,419.343961,417.8732553,415.2667123,413.4924231,415.9718423,407.394106,402.5292361,398.2053847,398.7120511,420.1021381,431.173838,428.1012925,424.4427558,430.8236855,444.6816322,425.1087161,432.0981152,434.1861174,445.7218669,448.5399712,432.0501971,435.500036,444.749022,445.0583485,468.7099938,457.2047176,439.2027984,440.2399687,439.3577675,434.6145845,430.1097703,422.9450087,411.2229134,402.9131802,395.4140624,384.7911129,373.6670839,362.4555898,352.2722562,344.4623639,336.2763017,329.4950082,322.2183273,314.4939608,309.1656707,302.7724406,311.4853123,332.8235573,
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,601.887,594.812,588.87,583.144,577.178,571.526,565.571,559.967,554.061,548.058,542.163,536.333,530.118,523.162,516.322,509.418,502.722,495.365,536.287,580.634,575.356,570.111,642.693,641.458,762.193,764.443,639.184,637.127,542.567,521.198,510.052,502.877,499.627,393.724,422.588,390.447,381.229,374.88,401.359,357.328,355.447,349.36,331.54,321.913,313.483,310.94,314.837,318.012,305.06,293.605,288.75,282.654,277.057,271.596,274.007,278.424,274.045,311.655,319.849,305.768,318.587,342.158,
Africa Western and Central,AFW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,492.5717256,489.0012028,470.8024781,469.1129043,467.8297139,463.3861588,462.6773748,484.5703832,473.3932609,470.0104784,448.9928539,442.3261833,434.2035064,427.0844008,420.8078712,414.0975882,406.2076412,399.6962442,396.4748591,394.2086877,393.0067873,390.6407763,389.9617486,387.4623931,386.9687598,388.1945199,389.1981092,391.2191869,386.015904,384.9550323,391.9110213,391.6538381,393.2841136,393.2741449,398.8168796,399.9978388,401.1763338,401.683533,398.4837695,395.6342169,389.5959664,387.7839662,386.5189451,383.3960035,380.0937841,375.3250459,370.2269825,367.142674,362.6015467,357.4426352,353.4993305,348.7386262,345.9712533,343.3122229,341.8078499,339.6646545,333.2544167,332.0798615,329.0874064,326.6355756,337.5873414,346.6200967,
Angola,AGO,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,473.846,543.464,542.759,540.674,539.104,536.085,536.275,533.971,530.59,527.777,525.074,521.007,517.812,515.749,511.698,531.136,537.501,536.039,529.682,524.792,521.651,515.358,513.248,541.646,539.274,533.556,530.007,582.573,566.657,561.656,559.379,508.697,544.587,587.898,553.672,437.717,433.677,432.576,477.222,495.987,469.15,481.08,454.962,409.718,400.21,391.77,389.257,376.381,367.605,359.053,353.366,345.748,337.853,332.765,326.818,321.296,316.08,308.611,308.888,305.594,313.481,331.364,
Albania,ALB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,220.933,213.827,207.742,200.884,194.071,190.045,186.721,181.278,176.931,171.922,167.35,164.487,161.057,156.707,153.534,151.071,149.649,147.233,147.545,145.827,138.768,137.798,136.635,135.146,134.115,133.755,131.735,129.084,128.714,127.84,127.21,125.625,123.24,121.291,119.91,118.502,116.932,134.619,113.276,112.103,110.606,109.086,107.491,106.344,105.25,104.528,104.124,97.193,97.633,96.591,95.606,94.095,93.879,93.142,89.576,86.126,82.916,79.586,76.657,74.029,114.508,122.111,
Andorra,AND,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,413.1260877,408.1162156,408.2380312,392.7209614,379.7731181,380.0499927,383.5468855,383.5332904,377.0076394,377.3430543,372.2791662,358.5362947,352.4838916,349.7332575,340.2711502,340.357313,337.5026312,319.8514877,312.3766169,305.7480364,309.2234933,312.1178287,314.4293482,305.357524,299.9220468,292.9558551,288.1234424,291.7674063,308.6420154,271.4439319,267.3315635,257.1632374,253.5285458,242.7516873,226.0986067,233.0397144,228.712811,226.9001424,233.2135132,214.4046861,210.5869845,206.5326703,203.6465134,209.0896424,211.9099665,209.4708587,205.499391,200.6776896,193.5318513,184.1185643,180.8965492,178.536639,181.886515,183.1610855,179.0439435,174.6221714,175.3313612,169.0219509,164.950778,160.3690046,170.001344,172.9266668,
United Arab Emirates,ARE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,402.435,394.752,385.927,378.601,365.752,354.27,342.951,332.765,319.295,305.264,290.301,275.97,261.435,252.297,238.67,232.813,226.347,220.589,214.857,209.229,202.161,195.252,189.573,189.068,182.875,181.839,180.959,174.649,174.921,174.098,173.458,166.917,166.363,166.485,166.381,165.748,163.002,160.85,159.049,147.54,133.12,129.939,126.548,103.501,100.708,98,95.227,92.835,90.399,88.043,85.646,83.394,80.672,78.858,76.298,73.993,72.596,70.841,69.448,68.244,70.319,70.961,
Argentina,ARG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,269.098,263.573,268.467,266.354,270.349,267.262,262.958,264.912,271.789,276.196,264.347,266.788,263.822,260.937,263.564,257.612,260.032,252.2,246.411,243.483,244.167,241.376,245.044,238.57,241.856,231.05,223.76,216.781,208.954,204.05,197.946,192.838,191.719,191.683,177.904,181.927,180.225,187.009,181.185,178.221,176.243,174.541,174.967,174.324,165.484,163.848,159.537,167.463,157.517,152.466,154.367,150.196,148.625,147.396,142.238,143.506,147.558,140.418,138.893,136.151,147.707,147.702,
