Country,GDP,Per Capita,DPT Immunization,HepB3 Immunization,Measles Immunization,Hospital beds,Basic sanitation services,Urban population,Rural population,"Population, female (percent of total)",Medical doctors (number),Life expectancy total population
Afghanistan,18571384636.1393,512.909525963436,65.8,65.8,63.8,0.45088888888888884,45.802639792,25.264400000000002,74.7356,49.429954120000005,9500.4,64.1491491239359
Africa Eastern and Southern,960280736863.8904,1531.7835747789482,76.8010235022131,76.42245202698953,72.9687970277065,0.911870801822378,29.99893099172772,35.340329926626,64.65967007337397,50.513522710000004,,63.2149746705134
Africa Western and Central,734255676333.531,1732.735509791754,66.18858964266738,66.17799822875712,63.04812067741284,2.9863456167669336,33.227307473752816,46.01570136246866,53.98429863753133,49.771206972,,57.3553334510115
Albania,13364882896.430302,4658.240105605954,98.8,98.8,95.6,3.052307692307692,98.493375582,59.3572,40.6428,49.884580791999994,4826.0,78.35526229996896
Algeria,168557748019.0004,4073.145408096214,91.8,91.8,87.4,1.8199999999999998,86.449686316,72.03540000000001,27.9646,49.045000994,73456.5,76.49133877269958
Angola,106042348734.80865,3573.626620303974,58.8,54.8,47.8,0.8,49.678754706,64.825,35.175,50.62716121,6496.5,60.44621247009758
Antigua and Barbuda,1506946666.666666,15784.77809613216,95.2,96.0,93.4,2.93425,86.7117308748889,24.7328,75.2672,52.30946324,264.0,76.7726371388261
Arab World,2569850385276.996,6234.173378891636,85.99310765118759,85.9805712756948,85.36810452453497,1.6166712603499902,82.7073731720883,58.629531298078675,41.37046870192134,48.127409197999995,,71.63875469521452
Argentina,554532285187.5691,12608.82840991368,88.8,88.8,91.2,4.824,92.9177856789412,91.748,8.251999999999999,50.505041652,175866.0,76.35741627394623
Armenia,11740832933.41326,3987.766369897072,93.2,93.2,96.0,4.295499999999999,93.431118768,63.12760000000001,36.8724,54.592732492,10745.0,74.95175096152823
Aruba,2951746563.5287027,28269.812463042057,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,97.72167185635291,43.31,56.69,52.721471167999994,,76.062699267955
Australia,1340916842998.246,54515.82026456021,94.4,94.4,95.0,3.8502500000000004,99.99115238,85.9082,14.091800000000001,50.378704244,90220.0,82.66568108272199
Austria,418714892279.12463,47668.54387422268,88.0,88.0,95.0,7.450105263157894,99.973990372,58.1052,41.8948,50.862386402,45653.0,81.69093155841401
Azerbaijan,45418924965.24314,4614.74685139489,95.4,95.4,97.6,7.016000000000001,96.12421874200001,55.3578,44.6422,50.69493198,32166.0,72.67923724589969
"Bahamas, The",12449020000.0,32594.98594532418,91.8,91.8,89.4,3.0322500035775,94.93058233,82.93199999999999,17.068,52.010212695999996,,73.57309910342804
Bahrain,35042686170.21274,23324.6723252374,98.4,98.6,99.0,2.0371111111111113,100.0,89.19120000000001,10.8088,37.649218646,1270.0,76.9219155546871
Bangladesh,248563016608.60782,1553.531587731298,98.0,98.0,97.0,0.6291428571428572,49.716842983999996,35.8572,64.1428,50.297107122,87758.2,72.20339702879653
Barbados,4963700000.0,17342.07398265716,93.8,93.8,91.4,6.180615384615384,97.173262992,31.1812,68.8188,52.131161908,712.0,79.00050196530924
Belarus,56668979385.915504,5998.037012350232,97.8,97.6,98.0,11.384000000000002,97.846143864,78.123,21.877,53.78423982,43594.2,74.502962982016
Belgium,503541870199.82,44235.25319256996,98.2,97.2,96.0,5.6899999999999995,99.486146378,97.9596,2.0404,50.746919734,35205.6,81.544887605258
Belize,1853590616.710154,4930.659140778862,94.2,94.2,94.8,1.1835999980919998,87.797840818,45.618399999999994,54.381600000000006,49.673112696,417.5,74.4545273310244
Benin,12912995099.67386,1152.4037410208862,75.6,75.6,69.4,0.5,15.64341053,46.773,53.227,49.985854857999996,731.3333333333334,61.1679527225279
Bermuda,7081042000.0,110166.7435034612,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,99.90314002,100.0,0.0,51.481946508,,81.6461476009392
Bhutan,2319091748.792754,3107.228521002144,97.8,97.8,97.0,1.688,72.596930534,40.156,59.84400000000001,46.875795386,304.2,71.09848005949054
Bolivia,37126587477.59892,3312.882272412314,83.6,83.6,88.0,1.1850769230769231,60.27231956000001,69.0818,30.918200000000002,49.730924112000004,,70.98483097796223
Bosnia and Herzegovina,18318382949.704018,5461.808375963444,76.2,79.4,71.2,3.3273333333333333,95.32098304810526,47.8876,52.1124,50.936329434,7413.0,77.14942819100436
Botswana,15651547113.22192,7077.77252539232,95.0,95.0,97.0,2.05,77.262839204,68.6812,31.3188,50.721222368,841.5,68.54711466713765
Brazil,1891235587242.7122,9100.3327380873,86.8,90.2,93.0,2.2281176470588235,87.67310075,86.3028,13.6972,50.806150054,468834.0,75.52908606601686
Brunei Darussalam,12699225639.64486,29921.697676005842,99.0,99.0,97.4,2.7165333333333335,96.34904194999997,77.3072,22.6928,48.164189612,711.0,75.59409178032567
Bulgaria,59842836070.17183,8467.284472892803,91.8,89.0,92.8,7.093999999999999,86.00382173599999,74.6686,25.3314,51.517004586,29352.5,75.017102580908
Burkina Faso,14168141305.1391,735.4379954014773,91.0,91.0,88.0,0.65,20.596395586,28.749000000000002,71.251,50.24439762,1522.2,60.69912093791534
Burundi,2777062798.956318,257.3876567254444,92.4,92.4,91.2,1.13,45.815850238,12.714,87.286,50.387531396,892.0,60.87579812572238
Cabo Verde,1795293414.504844,3336.834423133806,95.8,96.6,95.6,2.1,74.008177844,65.2544,34.7456,50.262637902,423.3333333333333,72.45969404669142
Cambodia,22381009185.09888,1394.60098753337,92.4,92.4,84.0,0.7377142857142858,59.342073398000004,22.988599999999998,77.01140000000001,50.512334916,,69.18299246405388
Cameroon,36353587470.17572,1476.7098938359982,72.2,72.2,65.8,1.4,43.40312257,55.775200000000005,44.2248,50.160476677999995,3259.0,58.48223558631238
Canada,1640222688126.798,44785.591399579,91.0,71.0,89.6,2.564,99.143880448,81.3604,18.639599999999998,50.358988513999996,90643.0,82.024851098718
Caribbean small states,73204427805.45105,10008.524252912244,93.16997036803777,92.9058789987571,91.61377087989027,2.392750967893329,88.76206091271891,51.0609733825649,48.9390266174351,50.565025592,,73.58050088740643
Central African Republic,2006896008.081822,434.875413362371,47.0,47.0,49.0,1.1,15.219546851999999,41.0018,58.9982,49.945174072,329.5,52.17046990581055
Central Europe and the Baltics,1479497531124.308,14398.58889034424,94.24411432779769,82.68538425512898,93.55375672571566,6.564411873761641,95.02099181266847,62.26908346543034,37.73091653456966,51.633389328,,77.13689915814288
Chad,10720536841.418701,714.221890971016,44.0,44.0,40.6,0.4,11.398001255999999,22.8776,77.1224,49.818847626,709.8,53.70689132313114
Channel Islands,8155027320.584622,53905.528945494865,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,98.5,30.930200000000003,69.0698,50.818142924,,82.75081369932555
Chile,269670217010.5274,14591.28744039488,95.0,95.2,94.0,2.1431578947368424,99.806481206,87.4958,12.5042,50.377976274000005,44881.0,79.8549484959038
China,12555998800864.34,8995.392376427297,99.0,99.0,99.0,3.442888888888889,87.674613224,57.931200000000004,42.068799999999996,48.850654024,2841939.2,76.49466422122856
Colombia,309163718491.7664,6315.584705372048,91.6,91.6,94.0,1.6252307695969228,90.894675872,80.44,19.56,50.620593036,103335.6,76.93647998854168
Comoros,1087532407.4398878,1333.856835615368,91.0,91.0,90.0,2.18,35.858784254,28.800400000000003,71.1996,49.850341400000005,220.0,63.929798656588694
"Congo, Dem. Rep.",42123704427.53296,515.4468644303332,58.2,58.2,58.4,0.95,16.580586468,43.8866,56.1134,50.406305404,,60.015928395710795
"Congo, Rep.",11922404452.64054,2328.97381033147,74.8,74.8,73.0,1.6,19.858138775999997,66.45840000000001,33.5416,50.08170603800001,,63.87313279335804
Costa Rica,60459602663.87309,12211.76543030006,94.8,96.4,94.2,1.1320000000000001,97.405627348,78.5146,21.485400000000002,49.882325138,14066.25,79.95230612131482
Cote d'Ivoire,52383584525.92996,2137.4674080423856,83.8,83.8,72.4,0.4,32.253328534000005,50.333800000000004,49.666199999999996,49.40225571,,57.03020092392052
Croatia,56633371989.595055,13725.946765712419,93.2,92.8,91.6,5.600444444444444,96.52819184399999,56.6828,43.3172,51.503739222,13841.2,78.09379832611201
Cuba,95766400000.0,8449.219521819046,99.0,99.0,99.0,5.281428574154287,90.718511968,76.9898,23.0102,50.210326128000005,91917.0,78.68898783499354
Cyprus,22989541914.51496,26632.66405201808,97.2,96.4,89.2,3.5702222222222226,99.422265752,66.85560000000001,33.144400000000005,49.898772836,3193.2,80.66299917390674
Czech Republic,220876439117.4388,20824.20294449504,96.6,96.0,96.4,6.754526315789474,99.134379738,73.687,26.313,50.0,,79.02
Denmark,330462525917.7268,57379.323377694374,95.8,81.30778500851066,94.6,2.554,99.597229022,87.7586,12.2414,50.312493718,23305.75,81.022062479074
Djibouti,2824535825.816868,2986.450306857494,79.4,79.4,79.8,1.4525333333333332,64.02655751,77.65700000000001,22.343,50.287328272,,65.88570793184047
Dominican Republic,80272839768.88647,7628.903737364721,87.8,84.2,90.4,1.5793846124492308,85.802229918,80.23620000000001,19.7638,49.654048556,15287.5,73.76336376572661
Early-demographic dividend,10853979400053.459,3383.1944209877342,85.79689226797574,85.12730093831246,86.33210537261596,0.9247604026686689,68.05760266836106,44.73040418951516,55.26959581048489,49.172157096,,70.2729635392079
East Asia & Pacific,24467672699649.98,10528.77659580967,93.08138887665794,90.52619894829061,94.07034671315148,3.913405276473805,86.71018835852506,58.17808100202134,41.82191899797866,49.375728372,,75.90586953116106
East Asia & Pacific (IDA & IBRD countries),15055051257185.36,7333.73076713676,92.77980126345173,92.78808752556614,93.87468517743295,2.9987222495577406,85.33154395888816,54.57527134350319,45.42472865649682,49.183617928000004,,75.06901510376473
East Asia & Pacific (excluding high income),15074225545459.8,7253.0784351550055,92.82558720179188,92.8337774876367,93.92885817649515,3.0086540264827724,85.30389994794318,54.66288922482498,45.33711077517502,49.203194916,,75.02953563696285
Ecuador,103838791200.0,6183.3092581841065,83.2,83.2,83.4,1.5185000000000002,88.618353054,63.681799999999996,36.318200000000004,49.988517642,34775.333333333336,76.63295550510264
"Egypt, Arab Rep.",290067171060.7782,3016.662750698618,94.4,94.4,94.0,1.5555555555555558,96.412054764,42.7312,57.2688,49.392205598,,71.67737582465263
El Salvador,25105274000.0,3928.4371013458176,86.2,86.2,86.6,1.0621538461538462,82.884391048,71.249,28.750999999999998,52.293192524000006,14191.0,72.92338337017475
Equatorial Guinea,12228301970.02512,9725.424495302661,50.4,50.4,52.4,1.825,64.52486925888888,71.634,28.365999999999996,47.188179403999996,507.0,58.08952738992146
Eritrea,1223860506.852873,424.528208704876,95.0,95.0,98.6,0.95,11.065503645164705,31.45741666666667,68.54258333333335,50.730524864,238.0,65.58259178661407
Estonia,27063226079.12476,20502.93368544326,92.4,92.0,90.8,4.886105263157894,99.140882468,68.72540000000001,31.2746,52.967131662,4563.4,78.380257336204
Eswatini,4288667332.705552,3808.3674127176646,90.0,90.0,86.6,2.1,62.502180908,23.6328,76.3672,50.618441066,197.66666666666666,58.32245400341681
Ethiopia,80167736877.27162,750.6951119694493,67.2,66.6,57.0,0.8789999999999999,8.063526998399999,20.3184,79.6816,49.703881876,8395.0,65.8547016185289
Euro area,12677249099277.9,37160.656251550805,94.91204842610428,89.58761474131613,93.90401142696452,5.153416233203526,99.04205063415844,76.77738617688904,23.22261382311096,51.139052524,,82.0376593249795
Europe & Central Asia,21750863169658.44,23786.5430960273,93.82144591930091,84.47457271735905,94.57336875020052,5.417218023423368,96.5473906415526,72.0226241967492,27.977375803250776,51.506515721999996,,77.90737657410605
Europe & Central Asia (IDA & IBRD countries),3851517599636.3203,8429.950265465446,93.02636685022715,92.95116052284628,95.06560912761333,7.030318154345562,94.03083472221172,66.16960535048536,33.830394649514645,51.994372729999995,,74.03479911491829
Europe & Central Asia (excluding high income),3262555535098.586,7866.093993816864,92.83594346175012,92.94682149461877,95.13279246619308,7.341868510717307,93.49303287089,66.8198377676735,33.18016223232648,52.057159586,,73.63762238761113
European Union,14765613075785.8,33097.56664681982,94.83858742610013,86.7027313033554,93.8998987879736,5.35559669935021,98.21726897526875,74.3149580792945,25.685041920705523,51.183412415999996,,81.04827769391159
Faroe Islands,2866757925.2217703,59278.180331068244,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,90.88347572,41.9236,58.0764,48.307288348,,82.26352007132
